1501,Dhampir Wizard,,,,,
1508,Deinonychus,,,,,
1515,Pachycephalosaurus,,,,,
1523,Stegosaurus,,,,,
1530,Triceratops,,,,,
1537,Brontosaurus,,,,,
1544,Tyrannosaurus,,,,,
1557,Riding Dog,,,,,
1565,Orca,,,,,
1574,Rhu-Chalik,,,,,
1581,Xoarian,,,,,
1588,Jah-Tohl,,,,,
1595,Gosreg,,,,,
1611,Adamantine Dragon (Adult),,,,,
1622,Conspirator Dragon (Adult),,,,,
1632,Diabolic Dragon (Adult),,,,,
1643,Empyreal Dragon (Adult),,,,,
1653,Fortune Dragon (Adult),,,,,
1663,Horned Dragon (Adult),,,,,
1674,Mirage Dragon (Adult),,,,,
1684,Omen Dragon (Adult),,,,,
1697,Dragon Turtle,,,,,
1706,Fey Dragonet,,,,,
1713,River Drake,,,,,
1720,Flame Drake,,,,,
1727,Jungle Drake,,,,,
1734,Wyvern,,,,,
1741,Frost Drake,,,,,
1749,Desert Drake,,,,,
1756,Dullahan,,,,,
1763,Dwarf Warrior,,,,,
1770,Dybbuk,,,,,
1777,Giant Eagle,,,,,
1782,,Horizontal bar,,,,
1789,Electric Eel,,,,,
1796,Elananx,,,,,
1804,Zephyr Hawk,,,,,
1811,Elemental Hurricane,,,,,
1824,Sod Hound,,,,,
1832,Living Landslide,,,,,
1839,Living Wildfire,,,,,
1846,Firewyrm,,,,,
1854,Air Scamp,,,,,
1861,Fire Scamp,,,,,
1868,Brine Shark,,,,,
1875,Living Waterfall,,,,,
1882,Elephant,,,,,
1890,Elf Ranger,,,,,
1897,Grothlut,,,,,
1904,Irnakurse,,,,,
1914,Giant Flytrap,,,,,
1921,Gargoyle,,,,,
1933,Jaathoom,,,,,
1941,Jabali,,,,,
1949,Faydhaan,,,,,
1956,Ifrit,,,,,
1971,Ghost Commoner,,,,,
1979,Ghost Mage,,,,,
1987,Ghoul Stalker,,,,,
1994,Ghoul Soldier,,,,,
2001,Stone Giant,,,,,
2008,Frost Giant,,,,,
2015,Fire Giant,,,,,
2023,Cloud Giant,,,,,
2030,Shadow Giant,,,,,
2037,Rune Giant,,,,,
2044,Gimmerling,,,,,
2051,Globster,,,,,
2059,Gnome Bard,,,,,
2066,Umbral Gnome Scout,,,,,
2073,Goblin Warrior,,,,,
2080,Goblin Pyro,,,,,
2093,Goblin Dog,,,,,
2102,Gogiteth,,,,,
2110,Graveknight,,,,,
2120,Mitflit,,,,,
2127,Jinkin,,,,,
2134,Griffon,,,,,
2142,Grikkitog,,,,,
2149,Grim Reaper,,,,,
2156,Lesser Death,,,,,
2163,Grindylow,,,,,
2170,Guthallath,,,,,
2179,Sea Hag,,,,,
2187,Sweet Hag,,,,,
2195,Iron Hag,,,,,
2202,Cuckoo Hag,,,,,
2215,Halfling Street Watcher,,,,,
2224,Harpy,,,,,
2233,Hell Hound,,,,,
2242,Herexen,,,,,
2250,Hippocampus,,,,,
2257,Hippogriff,,,,,
2264,Hobgoblin Soldier,,,,,
2272,Hobgoblin Archer,,,,,
2279,Homunculus,,,,,
2286,War Horse,,,,,
2293,Hryngar Bombardier,,,,,
2300,Hryngar Taskmaster,,,,,
2308,Hydra,,,,,
2315,Hyena,,,,,
2322,Imp,,,,,
2329,Iron Warden,,,,,
2333,,,,,,
2334,,,,,,
2350,Kholo Bonekeeper,,,,,
2359,Kholo Sergeant,,,,,
2368,Kobold Warrior,,,,,
2375,Kobold Cavern Mage,,,,,
2382,Kraken,,,,,
2389,Krooth,,,,,
2396,Lamia,,,,,
2404,Lamia Matriarch,,,,,
2413,Leaf Leshy,,,,,
2420,Fungus Leshy,,,,,
2427,Lich,,,,,
2438,Crag Linnorm,,,,,
2445,Ice Linnorm,,,,,
2452,Tarn Linnorm,,,,,
2459,Tor Linnorm,,,,,
2472,Giant Gecko,,,,,
2480,Giant Monitor Lizard,,,,,
2487,Lizardfolk Defender,,,,,
2495,Lizardfolk Scout,,,,,
2502,Manticore,,,,,
2509,Giant Mantis,,,,,
2518,Medusa,,,,,
2526,Merfolk Wavecaller,,,,,
2533,Minotaur Hunter,,,,,
2540,Mukradi,,,,,
2547,Mummy Guardian,,,,,
2554,Mummy Pharaoh,,,,,
2562,Smaranava,,,,,
2569,Vicharamuni,,,,,
2578,Nightmare,,,,,
2585,Nilith,,,,,
2598,Norn,,,,,
2610,Noxious Needler,,,,,
2617,Nuckelavee,,,,,
2624,Naiad,,,,,
2631,Dryad,,,,,
2638,Naiad Queen,,,,,
2646,Dryad Queen,,,,,
2653,Giant Octopus,,,,,
2660,Larval Ofalth,,,,,
2669,Ogre Warrior,,,,,
2676,Ogre Boss,,,,,
2684,Mountain Oni,,,,,
2691,Snow Oni,,,,,
2698,Caldera Oni,,,,,
2705,Island Oni,,,,,
2718,String Slime,,,,,
2727,Living Tar,,,,,
2735,Orc Scrapper,,,,,
2742,Dromaar Mountaineer,,,,,
2750,Paleohemoth,,,,,
2757,Pegasus,,,,,
2766,Phantom Knight,,,,,
2773,Phantom Beast,,,,,
2780,Phoenix,,,,,
2788,Pipefox,,,,,
2795,Duskwalker Ghost Hunter,,,,,
2803,Pitborn Adept,,,,,
2811,Poltergeist,,,,,
2818,Poracha,,,,,
2829,Voidworm,,,,,
2836,Azuretzi,,,,,
2843,Keketar,,,,,
2857,Nosoi,,,,,
2865,Vanth,,,,,
2873,Morrigna,,,,,
2880,Yamaraj,,,,,
2887,Quetzalcoatlus,,,,,
2895,Pukwudgie,,,,,
2903,Cythnigot,,,,,
2911,Gongorinan,,,,,
2920,Augnagar,,,,,
2927,Thulgant,,,,,
2934,Quai Dau To,,,,,
2941,Quelaunt,,,,,
2949,Raktavarna,,,,,
2956,Raja-Krodha,,,,,
2965,Giant Rat,,,,,
2972,Ratfolk Grenadier,,,,,
2988,Redcap,,,,,
2990,,,,,,
3003,Reefclaw,,,,,
3011,Revenant,,,,,
3018,Woolly Rhinocerous,,,,,
3025,Roc,,,,,
3032,Sargassum Heap,,,,,
3046,Satyr,,,,,
3054,Scarecrow,,,,,
3063,Giant Scorpion,,,,,
3070,Sea Serpent,,,,,
3077,Sedacthy Scout,,,,,
3085,Sedacthy Marauder,,,,,
3094,Zyss Serpentfolk,,,,,
3101,Aapoph Serpentfolk,,,,,
3108,Coil Spy,,,,,
3115,Bone Prophet,,,,,
3129,Shadow,,,,,
3137,Megalodon,,,,,
3145,Shining Child,,,,,
3152,Shuln,,,,,
3164,Wrathspawn,,,,,
3171,,icosahedron,,,,
3172,Skeletal Champion,,,,,
3180,Skeletal Horse,,,,,
3187,Skulltaker,,,,,
3194,Slurk,,,,,
3201,Python,,,,,
3208,Giant Viper,,,,,
3216,Soulbound Doll,,,,,
3223,Sphinx,,,,,
3230,Spider Swarm,,,,,
3237,Goliath Spider,,,,,
3251,Sprite,,,,,
3259,Draxie,,,,,
3266,Stone Bulwark,,,,,
3273,Tengu Sneak,,,,,
3286,Terotricus,,,,,
3293,Tooth Fairy,,,,,
3307,Blackaxe,,,,,
3315,Forest Troll,,,,,
3322,Troll Warleader,,,,,
3329,Twigjack,,,,,
3336,Unicorn,,,,,
3358,Vampire Servitor,,,,,
3365,Vampire Mastermind,,,,,
3378,Vescavor Swarm,,,,,
3386,Vescavor Queen,,,,,
3397,Vilderavn,,,,,
3404,Witchwarg,,,,,
3417,Warsworn,,,,,
3424,Giant Wasp,,,,,
3434,Wererat,,,,,
3443,Werewolf,,,,,
3450,Werebear,,,,,
3457,Weretiger,,,,,
3464,Wight,,,,,
3471,Will-o’-Wisp,,,,,
3479,Wolf,,,,,
3486,Wraith,,,,,
3493,Xulgath Warrior,,,,,
3500,Xulgath Skulker,,,,,
3519,Yeti,,,,,
3527,Zecui,,,,,
3541,Zombie Shambler,,,,,
3548,Zombie Hulk,,,,,
3585,Greater Nightmare,,,,,
3605,Quatoid,,,,,
3620,Earth Scamp,,,,,
3630,Skeletal Giant,,,,,
3654,,Horizontal bar,,,,
3655,,logo,,,,
3656,,non-monster,,,,
3657,,non-monster,,,,
3658,,non-monster,,,,
3659,,non-monster,,,,
3660,,non-monster,,,,
3661,,non-monster,,,,
3662,,non-monster,,,,
3663,,non-monster,,,,
3664,,non-monster,,,,
3665,,non-monster,,,,
3666,,non-monster,,,,
3667,,non-monster,,,,
3668,,non-monster,,,,
3669,,non-monster,,,,
3670,,non-monster,,,,
3671,,non-monster,,,,
3672,,non-monster,,,,
3673,,non-monster,,,,
3674,,non-monster,,,,
3675,,non-monster,,,,
3676,,non-monster,,,,
3677,,non-monster,,,,
3678,,non-monster,,,,
3679,,non-monster,,,,
3680,,non-monster,,,,
3681,,non-monster,,,,
3682,,non-monster,,,,
3704,,non-monster,,,,
3705,,non-monster,,,,
3706,,non-monster,,,,
3707,,non-monster,,,,
3708,,non-monster,,,,
3709,,non-monster,,,,
3710,,non-monster,,,,
3711,,non-monster,,,,
3712,,non-monster,,,,
3713,,non-monster,,,,
3714,,non-monster,,,,
3715,,non-monster,,,,
3716,,non-monster,,,,
3717,,non-monster,,,,
3718,,non-monster,,,,
3719,,non-monster,,,,
3720,,non-monster,,,,
3721,,non-monster,,,,
3722,,non-monster,,,,
3723,,non-monster,,,,
3724,,non-monster,,,,
3725,,non-monster,,,,
3726,,non-monster,,,,
3727,,non-monster,,,,
3728,,non-monster,,,,
3729,,non-monster,,,,
3730,,non-monster,,,,
3748,,non-monster,,,,
3749,,non-monster,,,,
3750,,non-monster,,,,
3751,,non-monster,,,,
3752,,non-monster,,,,
3753,,non-monster,,,,
3754,,non-monster,,,,
3755,,non-monster,,,,
3756,,non-monster,,,,
3757,,non-monster,,,,
3758,,non-monster,,,,
3759,,non-monster,,,,
3760,,non-monster,,,,
3761,,non-monster,,,,
3762,,non-monster,,,,
3763,,non-monster,,,,
3764,,non-monster,,,,
3765,,non-monster,,,,
3766,,non-monster,,,,
3767,,non-monster,,,,
3768,,non-monster,,,,
3769,,non-monster,,,,
3770,,non-monster,,,,
3771,,non-monster,,,,
3772,,non-monster,,,,
3773,,non-monster,,,,
3774,,non-monster,,,,
3775,,non-monster,,,,
3776,,non-monster,,,,
3777,,non-monster,,,,
3778,,non-monster,,,,
3779,,non-monster,,,,
3780,,non-monster,,,,
3781,,non-monster,,,,
3782,,non-monster,,,,
3783,,non-monster,,,,
3784,,non-monster,,,,
3796,,non-monster,,,,
3797,,non-monster,,,,
3798,,non-monster,,,,
3799,,non-monster,,,,
3800,,non-monster,,,,
3801,,non-monster,,,,
3802,,non-monster,,,,
3803,,non-monster,,,,
3804,,non-monster,,,,
3805,,non-monster,,,,
3806,,non-monster,,,,
3807,,non-monster,,,,
3808,,non-monster,,,,
3809,,non-monster,,,,
3810,,non-monster,,,,
3811,,non-monster,,,,
3812,,non-monster,,,,
3813,,non-monster,,,,
3814,,non-monster,,,,
3815,,non-monster,,,,
3816,,non-monster,,,,
3817,,non-monster,,,,
3818,,non-monster,,,,
3819,,non-monster,,,,
3820,,non-monster,,,,
3821,,non-monster,,,,
3822,,non-monster,,,,
3823,,non-monster,,,,
3824,,non-monster,,,,
3825,,non-monster,,,,
3826,,non-monster,,,,
3827,,non-monster,,,,
3828,,non-monster,,,,
3829,,non-monster,,,,
3830,,non-monster,,,,
3831,,non-monster,,,,
3832,,non-monster,,,,
3833,,non-monster,,,,
3834,,non-monster,,,,
3835,,non-monster,,,,
3836,,non-monster,,,,
3837,,non-monster,,,,
3838,,non-monster,,,,
3839,,non-monster,,,,
3852,,non-monster,,,,
3853,,non-monster,,,,
3856,,non-monster,,,,
3859,,non-monster,,,,
3860,,non-monster,,,,
3861,,non-monster,,,,
3862,,non-monster,,,,
3863,,non-monster,,,,
3882,,non-monster,,,,
3899,,non-monster,,,,
3905,,non-monster,,,,
4040,,non-monster,,,,
5722,,non-monster,,,,
5723,,non-monster,,,,
5724,,non-monster,,,,
5725,,non-monster,,,,
5726,,non-monster,,,,
